entity_key,file_name,sheet_name,row_number,message,raw_value
PED20260617353977106665765815,ANALISE MI.xlsx,PEDIDOS,570,"Status divergente entre arquivos para PED20260617353977106665765815: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED20260616353977106665765442,ANALISE MI.xlsx,PEDIDOS,571,"Status divergente entre arquivos para PED20260616353977106665765442: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED20260617353998103990493822,ANALISE MI.xlsx,PEDIDOS,578,"Status divergente entre arquivos para PED20260617353998103990493822: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED20260617353998103990493823,ANALISE MI.xlsx,PEDIDOS,579,"Status divergente entre arquivos para PED20260617353998103990493823: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED20260617353998107717694824,ANALISE MI.xlsx,PEDIDOS,580,"Status divergente entre arquivos para PED20260617353998107717694824: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED20260617353998107717694825,ANALISE MI.xlsx,PEDIDOS,581,"Status divergente entre arquivos para PED20260617353998107717694825: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED20260611354542505034598288,ANALISE MI.xlsx,PEDIDOS,649,"Status divergente entre arquivos para PED20260611354542505034598288: primário=""CONCLUIDO"", secundário=""PEDIR PECA"".",PEDIR PECA
PED202606193552162232517711162,ANALISE MI.xlsx,PEDIDOS,721,"Status divergente entre arquivos para PED202606193552162232517711162: primário=""CONCLUIDO"", secundário=""PEDIR PECA"".",PEDIR PECA
PED20260617356573103398307953,ANALISE MI.xlsx,PEDIDOS,799,"Status divergente entre arquivos para PED20260617356573103398307953: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED20260617356573103398307954,ANALISE MI.xlsx,PEDIDOS,800,"Status divergente entre arquivos para PED20260617356573103398307954: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED202606193566491570155811141,ANALISE MI.xlsx,PEDIDOS,809,"Status divergente entre arquivos para PED202606193566491570155811141: primário=""CONCLUIDO"", secundário=""SEM SALDO"".",SEM SALDO
PED20260610356814112331602186,ANALISE MI.xlsx,PEDIDOS,828,"Status divergente entre arquivos para PED20260610356814112331602186: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED20260610356814112331602187,ANALISE MI.xlsx,PEDIDOS,829,"Status divergente entre arquivos para PED20260610356814112331602187: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED20260617356867116545932972,ANALISE MI.xlsx,PEDIDOS,836,"Status divergente entre arquivos para PED20260617356867116545932972: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED20260617356867116545932971,ANALISE MI.xlsx,PEDIDOS,837,"Status divergente entre arquivos para PED20260617356867116545932971: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
